make,model_principal,alias
Porsche,Cayman,cayman s
Cadillac,Ats-V,ats-v
Porsche,Boxster,boxster gts
Dodge,Dart,dart aero
Jeep,Cherokee,cherokee 4wd
Audi,S5,s5 cabriolet
Buick,Verano,verano
Cadillac,Xts,xts
Mercedes-Benz,Slk-Class,slk350
Chevrolet,El Camino Pickup,el camino pickup 2wd
Mini,Countryman,jcw countryman all4
Mercedes-Benz,Gle-Class,gle450 amg coupe
Chevrolet,R20 (C20) Pickup,r20 (c20) pickup 2wd
Fiat,500,500 abarth
Ferrari,Ff,ff
Gmc,Sierra,sierra k15 cab chassis 4wd
Jeep,Renegade,renegade 4wd
Cadillac,Xts Hearse,xts hearse
Ford,F150,f150 pickup 2wd
Ford,F250,f250 pickup 2wd
Dodge,Durango,durango awd
Gmc,Caballero Pickup,caballero pickup 2wd
Pontiac,Sunburst,sunburst
Isuzu,Axiom,axiom 2wd
Jeep,Liberty/Cherokee,liberty/cherokee 2wd
Mazda,Tribute,tribute 2wd
Mitsubishi,Montero Sport,montero sport 2wd
Toyota,4Runner,4runner 2wd
Chevrolet,Avalanche,avalanche 1500 4wd
Chevrolet,Tracker,tracker 4wd convertible
Subaru,Xt,xt
Gmc,Yukon,yukon xl 1500 awd
Plymouth,Conquest,conquest
Mazda,Tribute,tribute 4wd
Subaru,Baja,baja awd
Suzuki,Grand Vitara,grand vitara 4wd
Suzuki,Grand Vitara,grand vitara xl7 4wd
Toyota,Corolla,corolla sport
Ford,Taurus,taurus
Bmw,Z4,z4 roadster
Ferrari,575 M Maranello,575 m maranello
Honda,Insight,insight
Mercedes-Benz,Sl-Class,sl55 amg
Audi,Tt Coupe,tt coupe quattro
Porsche,Carrera 4 Cabriolet,carrera 4 cabriolet
Porsche,Carrera 4 S Coupe,carrera 4 s coupe
Bmw,3 Series,325ci
Chevrolet,Cavalier,cavalier
Infiniti,G35,g35
Kia,Rio,rio
Saab,9-3,9-3 sport sedan
Nissan,Stanza,stanza
Toyota,Camry,camry solara
Toyota,Echo,echo
Volvo,S40,s40 fwd
Bmw,5 Series,545i
Lincoln,Ls,ls
Suzuki,Verona,verona
Pontiac,Vibe,vibe
Mercury,Sable,sable wagon
Saab,9-5,9-5 wagon
Chevrolet,Silverado,silverado 1500 4wd
Dodge,Ram 1500 Pickup,ram 1500 pickup 4wd
Toyota,Tundra,tundra 4wd
Chevrolet,Van 15/25 Conversion,van 15/25 2wd conversion
Cadillac,Srx,srx 2wd
Ford,Expedition,expedition 2wd
Infiniti,Qx56,qx56 2wd
Oldsmobile,Calais,calais
Saturn,Vue,vue fwd
Bmw,X3,x3
Cadillac,Escalade,escalade ext awd
Chevrolet,Suburban,suburban 1500 4wd
Dodge,Durango,durango 4wd
Oldsmobile,Firenza,firenza
Gmc,Envoy,envoy xl 4wd
Land Rover,Discovery,discovery series ii
Nissan,Pathfinder,pathfinder armada 4wd
Nissan,Xterra,xterra v6 4wd
Gmc,Savana Cargo,savana (cargo) (bi-fuel)
Chrysler,Crossfire,crossfire coupe
Porsche,Targa,targa kit
Bmw,3 Series,325xi
Bmw,3 Series,330i
Chevrolet,Optra,optra 5
Honda,Civic,civic hybrid
Mercedes-Benz,Cl-Class,cl600
Pontiac,Sunfire,sunfire
Suzuki,Aerio,aerio awd
Suzuki,Reno,reno
Volkswagen,Jetta,jetta gli
Chevrolet,Monte Carlo,monte carlo
Dodge,Stratus,stratus 4 door
Chrysler,300,300c awd
Ford,Five Hundred,five hundred fwd
Mercury,Montego,montego awd
Mercury,Montego,montego fwd
Chevrolet,Silverado,silverado 1500 2wd
Gmc,Sierra,sierra 1500 4wd
Chevrolet,Astro Cargo,astro 2wd (cargo)
Chrysler,Lebaron,lebaron gts
Gmc,Savana Passenger,savana 1500/2500 2wd (passenger)
Honda,Odyssey,odyssey
Chevrolet,Equinox,equinox fwd
Isuzu,Ascender,ascender 5-passenger 2wd
Jeep,Grand Cherokee,grand cherokee 2wd
Dodge,Aries,aries
Cadillac,Escalade,escalade esv awd
Cadillac,Srx,srx awd
Land Rover,Lr3,lr3
Nissan,Murano,murano awd
Subaru,Legacy/Outback,outback wagon awd
Toyota,Sequoia,sequoia 4wd
Gmc,Yukon,yukon xl 1500 4wd
Gmc,Sierra,sierra 2500 hd 2wd cng
Dodge,Ram 1500 Pickup,ram 1500 pickup 2wd
Saab,9-7,9-7x awd
Jeep,Grand Cherokee,grand cherokee 4wd
Bmw,6 Series,650ci
Mitsubishi,Lancer,lancer evolution
Saturn,Ion,ion
Acura,Tl,tl
Cadillac,Sts,sts
Volvo,740/760,740/760
Mitsubishi,Galant,galant
Dodge,Charger,charger
Buick,Lesabre,lesabre
Audi,A4,a4 avant quattro
Bmw,5 Series,530xi sport wagon
Mazda,6,6 sport wagon
Subaru,Legacy/Outback,legacy wagon awd
Chevrolet,Colorado,colorado 4wd
Gmc,Canyon,canyon 4wd
Ford,Freestar,freestar wagon fwd
Chrysler,Pt Cruiser,pt cruiser convertible
Gmc,Envoy,envoy 2wd
Suzuki,Grand Vitara,grand vitara
Bmw,X5,x5
Land Rover,Range Rover,range rover sport
Mercury,Mariner,mariner 4wd
Toyota,Highlander,highlander 4wd
Toyota,Rav4,rav4 2wd
Renault,18I/Wagon/Sportwagon,18i sportwagon
Mitsubishi,Eclipse,eclipse spyder
Subaru,Legacy/Outback,legacy awd
Bmw,5 Series,530i
Toyota,Camry,camry hybrid
Hyundai,Sonata,sonata
Honda,Fit,fit
Volkswagen,Passat,passat wagon
Buick,Century Wagon,century wagon
Chevrolet,Silverado,silverado classic 1500 4wd
Chevrolet,Silverado,silverado classic 15 hybrid 4wd
Chrysler,Town And Country,town and country wagon
Gmc,Envoy,envoy 4wd
Hyundai,Santa Fe,santa fe 4wd
Cadillac,Xlr-V,xlr-v
Chevrolet,Cobalt,cobalt
Chevrolet,Optra,optra
Volvo,240,240 dl/240 gl wagon
Mercedes-Benz,S-Class,s65 amg
Audi,Q7,q7
Hummer,H3,h3 4wd
Mercedes-Benz,R-Class,r500 4matic
Chevrolet,Impala,impala
Bmw,3 Series,335ci
Bentley,Arnage,arnage
Mercury,Milan,milan awd
Saab,9-5,9-5 sportcombi
Lincoln,Mark Lt,mark lt
Chrysler,Town And Country/Voyager/Grand Voyager,town and country/voyager/grand voy. 2wd
Chrysler,Pt Cruiser,pt cruiser
Toyota,Highlander,highlander 2wd
Jeep,Commander,commander 4wd
Roush Performance,F150,stage 3 f150 super cab 4wd
Mercedes-Benz,380,380sl
Audi,Tt Coupe,tt coupe
Buick,Lacrosse/Allure,lacrosse/allure
Jaguar,S-Type,s-type 3.0 litre
Jaguar,X-Type,x-type sport brake
Nissan,Armada,armada 2wd
Mercury,Grand Marquis,grand marquis ffv
Volvo,C70,c70 convertible
Pontiac,G6,g6
Chevrolet,Malibu,malibu
Ford,Fusion,fusion
Mercedes-Benz,E-Class,e550 4matic
Cadillac,Funeral Coach/Hearse,funeral coach / hearse
Chevrolet,Colorado,colorado cab chassis inc 2wd
Dodge,D250 Pickup,d250 pickup 2wd
Honda,Element,element 4wd
Chevrolet,Suburban,suburban 1500 2wd
Lotus,Elise/Exige,elise/exige
Bmw,M,m6
Bmw,3 Series,328i
Chrysler,300 Srt8,300/srt-8
Dodge,Charger,charger awd
Maybach,62,62s
Dodge,Magnum,magnum
Lexus,Is,is 250
Gmc,Yukon,yukon 1500 hybrid 4wd
Bmw,1 Series,128i convertible
Saleen Performance,S331 Family,s331 family
Chevrolet,K10 Pickup,k10 pickup 4wd
Volkswagen,Beetle,new beetle convertible
Jaguar,Xj,xj8l
Volkswagen,Jetta,jetta sportwagen
Dodge,Journey,journey  2wd
Chevrolet,Aveo,aveo 5
Rolls-Royce,Phantom,phantom coupe
Mercury,Milan,milan
Maserati,Quattroporte,quattroporte
Mercedes-Benz,S-Class,s63 amg
Chevrolet,Colorado,colorado crew cab 2wd
Gmc,Canyon,canyon cab chassis inc 4wd
Isuzu,Ascender,ascender 5-passenger 4wd
Mazda,Tribute,tribute hybrid 4wd
Porsche,Cayenne,cayenne turbo
Gmc,Pickup,k15 pickup 4wd
Ferrari,F430,f430
Nissan,350Z,350z roadster
Porsche,Carrera 4 Coupe,carrera 4 coupe
Jeep,Comanche,comanche 4wd
Mini,Clubman,clubman s
Bmw,M,m3
Chrysler,300,300 awd
Subaru,Impreza/Outback Sport,impreza wagon/outback spt awd
Nissan,Frontier,frontier 2wd
Toyota,Tundra,tundra 2wd
Honda,Element,element 2wd
Toyota,Highlander,highlander hybrid 4wd
Nissan,370Z,370z
Kia,Forte,forte
Ford,Fusion,fusion fwd ffv
Lincoln,Mkz,mkz awd
Saturn,Outlook,outlook fwd
Audi,4000,4000
Chevrolet,Chevette,chevette
Gmc,Vandura,g15/25 vandura 2wd
Isuzu,I-Mark,i-mark
Pontiac,1000,1000
Subaru,Sedan,sedan
Volkswagen,Rabbit,rabbit
Ford,Escort,escort
Volvo,740/760,760 gle
Buick,Electra/Park Avenue,electra/park avenue
Chevrolet,Impala/Caprice,impala/caprice
Oldsmobile,Delta 88,delta 88
Mercury,Lynx,lynx wagon
Oldsmobile,Firenza,firenza cruiser wagon
Ford,E150 Club Wagon,e150 club wagon
Chevrolet,C10 Pickup,c10 pickup 2wd
Chevrolet,K20 Pickup,k20 pickup 4wd
Chevrolet,T10 (S10) Pickup,t10 (s10) pickup 4wd
Dodge,W100/W150 Pickup,w100/w150 pickup 4wd
Ford,F250,f250 pickup 4wd
Toyota,Truck/T100,truck 4wd
Dodge,B150/B250 Van,b150/b250 van 2wd
Ford,E250 Econoline,e250 econoline 2wd
Toyota,Van,cargo van 2wd
Chevrolet,Blazer,s10 blazer 2wd
Subaru,Brat,brat 4wd
Gmc,Jimmy,s15 jimmy 2wd
Chrysler,Laser/Daytona,laser/daytona
Nissan,200Sx,200sx
Dodge,Daytona,daytona
Plymouth,Colt,colt
Pontiac,Firebird/Trans Am/Formula,firebird
Rolls-Royce,Corniche/Continental,corniche
Chevrolet,Blazer,k10 blazer 4wd
Mercury,Lynx,lynx
Volkswagen,Quantum,quantum
Audi,5000,5000s
Dodge,Ramcharger,aw100/aw150 ramcharger 4wd
Chevrolet,Cavalier,cavalier wagon
Plymouth,Acclaim,acclaim
Lincoln,Town Car,town car
Mercedes-Benz,300,300sd
Saab,9000,9000
Subaru,Legacy/Outback,legacy wagon awd turbo
Mitsubishi,Expo,expo.lrv
Plymouth,Colt,colt vista
Dodge,D100/D150 Pickup,d100/d150 pickup 2wd
Mazda,B Pickup,b2200/b2600i
Dodge,B150/B250 Wagon,b150/b250 wagon 2wd
Chevrolet,Blazer,s10 blazer 4wd
Dodge,Caravan/Grand Caravan,caravan/grand caravan 4wd
Honda,Del Sol,civic del sol
Eagle,Summit,summit
Geo,Metro,metro xfi
Plymouth,Laser,laser
Subaru,Impreza/Outback Sport,impreza
Audi,V8,v8
Ford,Tempo,tempo
Lexus,Gs,gs 300
Toyota,Camry,camry
Volvo,850,850
Ford,Escort,escort wagon
Subaru,Impreza/Outback Sport,impreza wagon
Subaru,Impreza/Outback Sport,impreza wagon awd
Ford,Taurus,taurus wagon
Nissan,Truck,truck 2wd
Gmc,Sonoma,sonoma 2wd
Gmc,Sierra,sierra 1500 2wd
Gmc,Sierra,sierra 2500 2wd
Chevrolet,K1500 Pickup,k1500 pickup 4wd
Jeep,Cj,cj7
Chevrolet,Pickup 2500,pickup 2500 4wd
Nissan,Truck,truck 4wd
Toyota,Previa,previa
Nissan,Quest,quest
Gmc,Suburban,suburban 1500 2wd
Isuzu,Amigo,amigo 2wd
Isuzu,Trooper,trooper
Mitsubishi,Montero,montero
Ferrari,Ferrari F512M,ferrari f512m
Lamborghini,Diablo,db132/diablo
Mercedes-Benz,Sl-Class,sl500
Audi,Cabriolet,cabriolet
Bmw,3 Series,325i convertible
Geo,Metro,metro
Honda,Civic,civic crx
Mazda,Mx-3,mx-3
Saab,900,900 convertible
Alfa Romeo,164,164
Mercury,Tracer,tracer
Mazda,Protege,protege
Volkswagen,Jetta,jetta iii
Rolls-Royce,Brooklands/Turbo R,turbo r/rl bklds turbo/lwb
Dabryan Coach Builders Inc,Wb,wb
Nissan,Pulsar/Pulsar-Nx,pulsar/pulsar-nx
Eagle,Vision,vision
Mercury,Grand Marquis,grand marquis
Mercedes-Benz,S-Class,s320
Mercedes-Benz,S-Class,s350
Eagle,Summit,summit wagon
Chevrolet,Impala/Caprice,caprice/impala wagon
Dodge,Ram 2500 Pickup,ram 2500 pickup 2wd
Dodge,600,600 convertible
Toyota,Truck/T100,t100 2wd
Chevrolet,Sport Van,sport van g10/20 2wd
Honda,Del Sol,del sol
Mitsubishi,Eclipse,eclipse convertible
Toyota,Paseo,paseo
Eagle,Talon,talon
Ford,Probe,probe
Honda,Civic,civic
Subaru,Hatchback,hatchback
Rolls-Royce,Azure,azure
Suzuki,Swift,swift
Audi,A6,a6 quattro
Chrysler,Sebring,sebring
Kia,Sephia,sephia
Mazda,Millenia,millenia
Plymouth,Neon,neon
Cadillac,Cimarron,cimarron
Acura,Rl,3.5rl
Dodge,Stratus,stratus
Mazda,626,626
Chrysler,Concorde,concorde
Ford,Crown Victoria,crown victoria
Ford,F250,f250
Mercury,Topaz,topaz
Acura,Slx,slx
Ford,Explorer,explorer 4wd
Bmw,3 Series,328i/328is
Mitsubishi,3000 Gt,3000 gt
Saturn,Sc,sc
Toyota,Celica,celica
Ford,Contour,contour
Oldsmobile,Achieva,achieva
Oldsmobile,Cutlass Supreme,cutlass supreme
Mazda,B Pickup,b2300/b3000/b4000 pickup 4wd
Chevrolet,Van 1500/2500,van 1500/2500 2wd
Gmc,Safari Passenger,safari 2wd (passenger)
Kia,Sportage,sportage 2wd
Suzuki,Sidekick,sidekick 2door 2wd
Land Rover,Discovery,discovery
Lamborghini,Diablo,db132/144 diablo
Nissan,240Sx,240sx
Acura,Integra,integra
Nissan,Sentra/200Sx,sentra/200sx
Volvo,S70,s70
Volvo,V90,v90
Isuzu,Oasis,oasis
Volvo,V70,v70 fwd
Volvo,V70,v70 awd
Oldsmobile,Cutlass Cruiser,cutlass cruiser wagon
Chevrolet,Astro Passenger,astro 2wd (passenger)
Dodge,B2500 Wagon,b2500 wagon 2wd
Chrysler,Town And Country,town and country 2wd
Ford,Explorer,explorer 2wd
Mercury,Mountaineer,mountaineer 2wd
Plymouth,Voyager/Grand Voyager,voyager/grand voyager 2wd
Pontiac,6000,6000 wagon
Bmw,M,m roadster
Porsche,911,911 carrera
Chevrolet,Metro,metro
Bmw,5 Series,540i
Daewoo,Lanos,lanos
Mercedes-Benz,C-Class,c43 amg
Mercury,Tracer,tracer wagon
Dodge,Dakota Pickup,dakota pickup 2wd
Mazda,B Pickup,b4000
Dodge,B2500 Van,b2500 van 2wd
Chevrolet,Express Passenger,express 1500/2500 2wd
Dodge,Durango,durango 2wd
Isuzu,Rodeo,rodeo 4wd
Lexus,Lx,lx 470
Jaguar,Xkr,xkr
Lexus,Sc,sc
Pontiac,Firebird/Trans Am/Formula,firebird/trans am
Audi,A4,a4
Mercury,Mystique,mystique
Mercedes-Benz,Cl-Class,cl500
Lexus,Gs,gs 300/gs 400
Cadillac,Deville,deville
Saturn,Sw,sw
Ford,Focus,focus station wagon
Chevrolet,S10 Pickup,s10 pickup 4wd
Chevrolet,Tracker,tracker 2wd convertible
Gmc,Jimmy,jimmy 2wd
Jeep,Cherokee,cherokee 2wd
Suzuki,Vitara,vitara 4door 2wd
Gmc,Suburban,c15 suburban 2wd
Audi,Tt Roadster,tt roadster
Porsche,911,911 carrera 2/4
Porsche,911,911 turbo
Honda,Prelude,prelude
Oldsmobile,Alero,alero
Subaru,Hatchback,hatchback 4wd
Volvo,S80,s80/s80 executive
Dodge,Intrepid,intrepid
Audi,S4,s4 avant
Volkswagen,Jetta,jetta wagon
Nissan,Frontier,frontier v6 4wd
Mercury,Villager,villager fwd wagon
Honda,Cr-V,cr-v 4wd
Isuzu,Rodeo,rodeo sport 4wd
Isuzu,Trooper,trooper 4wd
Subaru,Forester,forester awd
Suzuki,Vitara,vitara 2door 4wd
Bmw,Z3,z3 roadster
Porsche,911,911 carrera 4s
Hyundai,Tiburon,tiburon
Maserati,Coupe Cambiocorsa/Coupe Gt,coupe cambiocorsa/coupe gt
Suzuki,Esteem,esteem
Volkswagen,Beetle,new beetle
Mercedes-Benz,C-Class,c240
Jaguar,S-Type,s-type
Mercury,Sable,sable
Suzuki,Aerio,aerio sx
Mercedes-Benz,E-Class,e320 4matic (wagon)
Dodge,Dakota Pickup,dakota pickup 4wd
Pontiac,Montana,montana fwd
Honda,Passport,passport 4wd
Mitsubishi,Nativa,nativa 4wd (puerto rico only)
Chevrolet,Cavalier,cavalier dual-fuel
Ford,Crown Victoria,crown victoria cng
Mitsubishi,Tredia,tredia
Bmw,Z8,z8
Mercedes-Benz,Clk-Class,clk320 (cabriolet)
Toyota,Camry,camry solara convertible
Hyundai,Accent/Brio,accent/brio
Mercedes-Benz,C-Class,c240 4matic
Suzuki,Aerio,aerio
Jaguar,S-Type,s-type 4.2 litre
Kia,Optima,optima
Saturn,L100/200,l200
Mitsubishi,Mirage,mirage
Buick,Park Avenue,park avenue
Ford,Explorer,explorer sport trac 4wd
Mercedes-Benz,500,500sl
Mercedes-Benz,Gls-Class,amg gls63
Gmc,Pickup,r15 pickup 2wd
Lincoln,Mkz,mkz hybrid fwd
Kia,Rio,rio eco
Gmc,Pickup,r25 pickup 2wd
Mazda,Cx-3,cx-3 2wd
Chevrolet,Equinox,equinox awd
Lamborghini,Aventador,aventador coupe
Cadillac,Xts,xts awd
Ford,Explorer,explorer 2wd ffv
Gmc,Sierra,sierra c15 2wd
Land Rover,Discovery,discovery sport
Gmc,Yukon,yukon c1500 xl 2wd
Bmw,M,m4 convertible
Chevrolet,V20 Pickup,v20 pickup 4wd
Jeep,Cherokee,cherokee fwd
Jeep,Patriot,patriot fwd
Dodge,Durango,durango rwd
Bmw,3 Series,320i
Chevrolet,Sonic,sonic 5
Bentley,Bentayga,bentayga
Mercedes-Benz,Amg Gt,amg gt s
Infiniti,Qx50,qx50 awd
Saab,900,900
Kia,Forte,forte 5
Mercedes-Benz,S-Class,amg s63 4matic coupe
Lexus,Gs,gs 200t f sport
Honda,Civic,civic 4dr
Honda,Civic,civic 5dr sport
Ford,F150,f150 5.0l 2wd ffv gvwr>7599 lbs
Ford,F150,f150 4wd ffv base payload lt tire
Gmc,Pickup,v15 pickup 4wd
Lexus,Is,is 300 awd
Jaguar,Xj,xj
Jaguar,Xjl,xjl
Mercedes-Benz,C-Class,amg c43 4matic
Bmw,X4,x4 xdrive28i
Jeep,J-10 Pickup,j-10 pickup truck 4wd
Toyota,Highlander,highlander awd
Tesla,Model S,model s awd - p100d
Jeep,Compass,new compass 2wd
Mazda,Cx-5,cx-5 4wd
